ID,Chinese Name,English Name,Latin Name,Rarity (1-4 from rare to common)
1,雪鹑,Snow Partridge, Lerwa lerwa,0
2,藏雪鸡,Tibetan Snowcock,Tetraogallus tibetanus,2
3,阿尔泰雪鸡,Altai Snowcock,Tetraogallus altaicus,1
4,暗腹雪鸡,Himalayan Snowcock,Tetraogallus himalayensis,1
5,雉鹑,Pheasant Grouse,Tetraophasis obscurus,3
6,四川雉鹑,Sichuan Pheasant Partridge,Tetraophasis szechenyii,3
7,石鸡,Chukar,Alectoris chukar,0
8,大石鸡,Rusty-necklaced Partridge,Alectoris magna,0
9,中华鹧鸪,Chinese Francolin,Francolinus pintadeanus,0
10,灰山鹑,Grey Partridge,Perdix perdix,2
11,斑翅山鹑,Daurian Partridge,Perdix dauuricae,0
12,高原山鹑,Tibetan Partridge,Perdix hodgsoniae,0
13,鹌鹑,Common Quail,Coturnix coturnix,1
14,日本鹌鹑,Japanese Quail,Coturnix japonica,0
15,蓝胸鹑,Blue-breasted Quail,Coturnix chinensis,1
16,环颈山鹧鸪,Hill Partridge,Arborophila torqueola,0
17,红喉山鹧鸪,Rufous-throated Partridge,Arborophila rufogularis,1
18,白颊山鹧鸪,White-cheeked Partridge,Arborophila atrogularis,0
19,台湾山鹧鸪,White-throated Hill Partridge,Arborophila crudigularis,3
20,红胸山鹧鸪,Red-breasted Hill Partridge,Arborophila mandellii,1
21,褐胸山鹧鸪,Brown-breasted Hill Partridge,Arborophila brunneopectus,0
22,四川山鹧鸪,Sichuan Partridge,Arborophila rufipectus,1
23,白眉山鹧鸪,White-necklaced Partridge,Arborophila gingica,1
24,海南山鹧鸪,Hainan Partridge,Arborophila ardens,1
25,绿脚山鹧鸪,Scaly-breasted Partridge,Arborophila charltonii,3
26,棕胸竹鸡,Mountain Bamboo-Partridge,Bambusicola fytchii,2
27,灰胸竹鸡,Chinese Bamboo-Partridge,Bambusicola thoracica,0
28,血雉,Blood Pheasant,Ithaginis cruentus,0
29,黑头角雉,Western Tragopan,Tragopan melanocephalus,1
30,红胸角雉,Satyr Tragopan,Tragopan satyra,2
31,灰腹角雉,Grey-bellied Tragopan,Tragopan blythii,2
32,红腹角雉,Temminck's Tragopan,Tragopan temminckii,0
33,黄腹角雉,Yellow-bellied Tragopan,Tragopan caboti,1
34,勺鸡,Yellow-necked koklass pheasa,Pucrasia macrolopha,1
35,棕尾虹雉,Himalayan Monal Pheasant,Pucrasia macrolopha,2
36,白尾梢虹雉,Sclater's Monal Pheasant,Lophophorus sclateri,1
37,绿尾虹雉,Chinese Monal Pheasant,Lophophorus lhuysii,1
38,原鸡,Red Junglefowl,Gallus gallus,0
39,黑鹇,Kalij Pheasant,Lophura leucomelanos,1
40,白鹇,Silver Pheasant,Lophura nycthemera,0
41,蓝鹇,Taiwan Blue Pheasant,Lophura swinhoii,2
42,藏马鸡,Tibetan Eared-pheasant,Crossoptilon harmani,0
43,白马鸡,White Eared-Pheasant,Crossoptilon crossoptilon,0
44,褐马鸡 ,Brown Eared-Pheasant,Crossoptilon mantchuricum,1
45,蓝马鸡,Blue Eared Pheasant,Crossoptilon auritum,0
46,白颈长尾雉,White-necked Long-tailed Pheas,Syrmaticus ellioti,0
47,黑颈长尾雉,Mrs.Hume's Pheasant,Syrmaticus humiae,1
48,黑长尾雉,Taiwan Long-tailed Pheasant,Syrmaticus mikado,1
49,白冠长尾雉,White-crowned Long-tailed Phea,Syrmaticus reevesii,1
50,雉鸡,Common Pheasant,Phasianus colchicus,2
51,红腹锦鸡,Golden Pheasant,Chrysolophus pictus,0
52,白腹锦鸡,Lady Amherst's Pheasant,Chrysolophus amherstiae,2
53,灰孔雀雉,Hainan grey peacock-pheasant,Polyplectron bicalcaratum,1
54,海南孔雀雉 ,Hainan Peacock Pheasant,Polyplectron katsumatae,1
55,绿孔雀,Green Peafowl,Pavo muticus,2
56,镰翅鸡,Sickle-winged Grouse,Dendragapus falcipennis,1
57,柳雷鸟,Willow Ptarmigan,Lagopus lagopus,1
58,岩雷鸟,Rock Ptarmigan,Lagopus mutus,1
59,黑琴鸡,Black Grouse,Tetrao tetrix,0
60,西方松鸡,Western Capercaillie,Tetrao urogallus,1
61,黑嘴松鸡,Spotted Capercaillie,Tetrao parvirostris,1
62,花尾榛鸡,Hazel Grouse,Tetrastes bonasia,0
63,斑尾榛鸡,Chinese Hazel Grouse,Tetrastes sewerzowi,1
64,栗树鸭,Tree Duck,Dendrocygna javanica,0
65,白头硬尾鸭,White-headed Stiff-tailed Duck,Oxyura leucocephala,1
66,疣鼻天鹅,White Swan,Cygnus olor,2
67,大天鹅,Whooper Swan,Cygnus cygnus,3
68,小天鹅,Whistling Swan,Cygnus columbianus,1
69,鸿雁,Swan Goose,Anser cygnoides,1
70,豆雁,Bean Goose,Anser fabalis,0
71,白额雁,White-fronted Goose,Anser albifrons,3
72,小白额雁,Lesser White-fronted Goose,Anser erythropus,1
73,灰雁,Greylag Goose,Anser anser,0
74,斑头雁,Bar-headed Goose,Anser indicus,0
75,雪雁,Snow Goose,Anser caerulescens,1
76,加拿大雁,Canada Goose,Branta canadensis,0
77,黑雁,Brent Goose,Branta bernicla,1
78,红胸黑雁,Red-breasted Goose,Branta ruficollis,1
79,赤麻鸭,Ruddy Shelduck,Tadorna ferruginea,0
80,冠麻鸭,Crested Shelduck,Tadorna cristata,1
81,翘鼻麻鸭,Common Shelduck,Tadorna tadorna,0
82,瘤鸭,Comb Duck,Sarkidiornis melanotos,1
83,棉凫,Cotton Teal,Nettapus coromandelianus,0
84,鸳鸯,Mandarin Duck,Aix galericulata,1
85,赤膀鸭,Gadwall,Anas strepera,2
86,罗纹鸭,Falcated Duck,Anas falcata,0
87,赤颈鸭,Wigeon,Anas penelope,0
88,葡萄胸鸭,American Wigeon,Anas americana,1
89,绿头鸭,Mallard,Anas platyrhynchos,0
90,斑嘴鸭,Spot-billed Duck,Anas poecilorhyncha,0
91,棕颈鸭,Philippine Duck,Anas luzonica,2
