Snow Partridge
Altai Snowcock
Pheasant Grouse
Sichuan Pheasant Partridge
Chukar
Rusty-necklaced Partridge
Chinese Francolin
Sichuan Partridge
White-necklaced Partridge
Hainan Partridge
Mountain Bamboo-Partridge
Western Tragopan
Temminck's Tragopan
Sclater's Monal Pheasant
Chinese Monal Pheasant
Red Junglefowl
Silver Pheasant
Mrs.Hume's Pheasant
White-crowned Long-tailed Phea
Golden Pheasant
Lady Amherst's Pheasant
Hainan grey peacock-pheasant
Sickle-winged Grouse
Willow Ptarmigan
Black Grouse
Spotted Capercaillie
Hazel Grouse
Chinese Hazel Grouse
White-headed Stiff-tailed Duck
Whistling Swan
Canada Goose
Cotton Teal
Common Teal
Marbled Teal
Scaly-sided Merganser
Eurasian Wryneck
Speckled Piculet
White-browed Piculet
Grey-capped Woodpecker
Fulvous-breasted Woodpecker
Rufous-bellied Woodpecker
Crimson-breasted Woodpecker
Darjeeling Woodpecker
White-backed Woodpecker
Rufous Woodpecker
White-bellied Woodpecker
Lesser Yellownape
Greater Yellownape
Laced Woodpecker
Scaly-bellied Woodpecker
Himalayan Flameback
Common Flameback
Greater Flameback
Bay Woodpecker
Great Slaty Woodpecker
Greater Barbet
Lineated Barbet
Green-eared Barbet
Golden-throated Barbet
Black-browed Barbet
Blue-throated Barbet
Blue-eared Barbet
Coppersmith Barbet
Oriental Pied Hornbill
Great Pied Hornbill
White-throated Brown hornbill
Rufous-necked Hornbill
Wreathed Hornbill
Eurasian Hoopoe
Orange-breasted Trogon
Red-headed Trogon
Harpactes wardi
European Roller
Indian Roller
Dollarbird
Blyth's Kingfisher
Common Kingfisher
Blue-eared Kingfisher
Three-toed Kingfisher
Stork-billed Kingfisher
Ruddy Kingfisher
White-throated Kingfisher
Black-capped Kingfisher
Collared Kingfisher
Crested Kingfisher
Pied Kingfisher
Blue-bearded Bee-eater
Little Green Bee-eater
Blue-throated Bee-eater
Blue-tailed Bee-eater
European Bee-eater
Chestnut-headed Bee-eater
Pied Cuckoo
Chestnut-winged Cuckoo
Large Hawk-Cuckoo
Common Hawk Cuckoo
Hodgson's Hawk-Cuckoo
Indian Cuckoo
Eurasian Cuckoo
Oriental Cuckoo
Lesser Cuckoo
Cuckoo Banded Bay
Plaintive Cuckoo
Asian Emerald Cuckoo
Violet Cuckoo
Drongo Cuckoo
Asian Koel
Green-billed Malkoha
Greater Coucal
Lesser Coucal
Rainbow Lorikeet
Yellow-crested Cockatoo
Vernal Hanging-Parrot
Rose-ringed Parakeet
Slaty-headed Parakeet
Blossom-headed Parakeet
Derby's Parakeet
Red-breasted Parakeet
Long-tailed Parakeet
